city,town,city_english
臺南市,北門區,Tainan
嘉義縣,義竹鄉,Chiayi_County
臺南市,鹽水區,Tainan
彰化縣,線西鄉,Changhua
臺中市,大里區,Taichung
金門縣,金城鎮,Kinmen
金門縣,金沙鎮,Kinmen
金門縣,金寧鄉,Kinmen
金門縣,金湖鎮,Kinmen
金門縣,烈嶼鄉,Kinmen
新北市,平溪區,NewTaipei
臺南市,下營區,Tainan
雲林縣,口湖鄉,Yunlin
嘉義縣,大埔鄉,Chiayi_County
臺南市,安平區,Tainan
屏東縣,內埔鄉,Pingtung
屏東縣,萬巒鄉,Pingtung
基隆市,中山區,Keelung
嘉義縣,朴子市,Chiayi_County
臺南市,佳里區,Tainan
臺東縣,海端鄉,Taitung
高雄市,桃源區,Kaohsiung
臺南市,龍崎區,Tainan
屏東縣,鹽埔鄉,Pingtung
屏東縣,三地門鄉,Pingtung
臺南市,西港區,Tainan
苗栗縣,獅潭鄉,Miaoli
苗栗縣,公館鄉,Miaoli
新竹縣,峨眉鄉,Hsinchu_County
臺南市,山上區,Tainan
屏東縣,長治鄉,Pingtung
彰化縣,芬園鄉,Changhua
臺東縣,大武鄉,Taitung
南投縣,竹山鎮,Nantou
臺南市,玉井區,Tainan
臺南市,東山區,Tainan
宜蘭縣,員山鄉,Yilan
嘉義縣,梅山鄉,Chiayi_County
花蓮縣,卓溪鄉,Hualien
新竹縣,尖石鄉,Hsinchu_County
彰化縣,二林鎮,Changhua
彰化縣,芳苑鄉,Changhua
彰化縣,大城鄉,Changhua
臺中市,新社區,Taichung
臺中市,東勢區,Taichung
臺南市,楠西區,Tainan
彰化縣,社頭鄉,Changhua
嘉義縣,溪口鄉,Chiayi_County
雲林縣,大埤鄉,Yunlin
南投縣,集集鎮,Nantou
南投縣,中寮鄉,Nantou
連江縣,南竿鄉,Lienchiang
連江縣,北竿鄉,Lienchiang
彰化縣,田中鎮,Changhua
苗栗縣,卓蘭鎮,Miaoli
苗栗縣,大湖鄉,Miaoli
臺中市,和平區,Taichung
彰化縣,二水鄉,Changhua
臺中市,東區,Taichung
臺中市,太平區,Taichung
臺中市,豐原區,Taichung
南投縣,仁愛鄉,Nantou
屏東縣,瑪家鄉,Pingtung
苗栗縣,泰安鄉,Miaoli
高雄市,那瑪夏區,Kaohsiung
雲林縣,水林鄉,Yunlin
屏東縣,霧臺鄉,Pingtung
新竹縣,北埔鄉,Hsinchu_County
彰化縣,北斗鎮,Changhua
苗栗縣,西湖鄉,Miaoli
新竹縣,五峰鄉,Hsinchu_County
臺東縣,東河鄉,Taitung
臺東縣,金峰鄉,Taitung
